name,city,state,Latitude,Longitude,site_type
PRU4,Presidente Prudente,SP,-22.12008,-51.408527,baseline_station
STMC,Monte Carmelo,MG,-18.724026,-47.5238,baseline_station
STSH,Santa Helena,PR,-24.846996,-54.344364,baseline_station
STBR,Balneário Rincão,SC,-28.826715,-49.21393,baseline_station
SJCU,São José dos Campos,SP,-23.210588,-45.956593,baseline_station
PRU2,Presidente Prudente,SP,-22.122038,-51.407078,baseline_station
SJCE,São José dos Campos,SP,-23.20753,-45.85974,baseline_station
UFBA,Salvador,BA,-12.999826,-38.51066,baseline_station
SLMA,São Luís,MA,-2.593464,-44.21229,baseline_station
FRTZ,Fortaleza,CE,-3.7362237,-38.724846,baseline_station
INCO,Inconfidentes,MG,-22.318548,-46.328114,baseline_station
MOR3,Presidente Prudente,SP,-22.127674,-51.4133,baseline_station
STCP,Cachoeira Paulista,SP,-22.702269,-45.013813,baseline_station
STMA,Macaé,RJ,-22.388687,-41.776234,baseline_station
STCB,Cuiabá,MT,-15.555245,-56.06989,baseline_station
STSJ,São João da Boa Vista,SP,-21.997086,-46.79223,baseline_station
STMN,Manaus,AM,-3.1101797,-59.974903,baseline_station
SPSP,São Paulo,SP,-23.546099,-46.677124,baseline_station
STPZ,Pirapozinho,SP,-22.24089,-51.425987,baseline_station
ROSA,Rosana,SP,-22.523304,-52.952087,baseline_station
STAF,Alfredo Marcondes,SP,-21.9541,-51.41457,baseline_station
STCL,Colider,MT,-10.81897,-55.448093,baseline_station
PALM,Palmas,TO,-10.199649,-48.3113,baseline_station
POAL,Porto Alegre,RS,-30.073896,-51.119682,baseline_station
STNT,Natal,RN,-5.8405857,-35.196213,baseline_station
SPBO,Botucatu,SP,-22.852467,-48.4323,baseline_station
STCT,Curitiba,PR,-25.45694,-49.236618,baseline_station
STAV,Álvares Machado,SP,-22.09647,-51.49987,baseline_station
STSB,Baraúna,BA,-10.4339,-40.1462,baseline_station
STBV,Boa Vista,RR,2.8337984,-60.697174,baseline_station
CTAS,Presidente Prudente,SP,-22.12379,-51.40814,baseline_station
STAR,Araguatins,TO,-5.651169,-48.073338,baseline_station
STPE,Presidente Epitácio,SP,-21.785223,-52.111637,baseline_station
PPT5,Presidente Prudente,SP,-22.119905,-51.408535,baseline_station
PRU5,Presidente Prudente,SP,-22.120047,-51.408672,baseline_station
SBTZ,Brasília,DF,-15.762999,-47.869465,baseline_station
SPP5,Piracicaba,SP,-22.733065,-47.6458,baseline_station
SPLI,Lins,SP,-21.665205,-49.733696,baseline_station
STIL,Ilhéus,BA,-14.796632,-39.1724,baseline_station
PRMA,Maringá,PR,-23.409689,-51.938423,baseline_station
JUTA,Taubaté,SP,-23.019949,-45.55774,baseline_station
SJC1,São José dos Campos,SP,-23.208057,-45.861057,baseline_station
STC1,Cachoeira Paulista,SP,-22.702269,-45.013813,baseline_station
SAO0,São Paulo,SP,-23.547493,-46.65231,baseline_station
SETA,Presidente Prudente,SP,-22.12379,-51.40814,baseline_station
